Symptom,Importance
difficulty in swallowing,0.26157553961230756
acne or pimples,0.25820036413584113
disturbance of memory,0.2574971137203307
irregular appearing scalp,0.2544110618421054
skin growth,0.2504223503678652
"skin dryness, peeling, scaliness, or roughness",0.2497594949451355
depression,0.2478978542775681
constipation,0.2435077461285778
anxiety and nervousness,0.23899447927211745
heavy menstrual flow,0.2380152529015572
lacrimation,0.23600206034354984
blood clots during menstrual periods,0.23489991526520257
fainting,0.23303873998236654
spotting or bleeding during pregnancy,0.23132270181448064
elbow pain,0.22829700329199806
pain in eye,0.22543118194315231
irregular heartbeat,0.22415587383868585
temper problems,0.22145298389926754
eye redness,0.22030607523163792
vaginal pain,0.21085389947251948
abusing alcohol,0.2101312272898116
involuntary urination,0.20781887243895308
fears and phobias,0.2073684155930854
diminished hearing,0.2057937958876961
plugged feeling in ear,0.20496485533564038
arm weakness,0.20468576690348741
abnormal breathing sounds,0.20343828494332006
vomiting blood,0.20239062404020003
blood in urine,0.1999245781359439
frequent urination,0.198990507417714
warts,0.19848961327545553
leg weakness,0.19769929584875026
regurgitation.1,0.19766571971175315
increased heart rate,0.19638458579666104
hand or finger swelling,0.1863908443530004
sweating,0.18415387563076885
changes in stool appearance,0.1819492052497898
feeling ill,0.18124927582429196
pain of the anus,0.17957189405295856
fluid in ear,0.17792166662237777
ankle pain,0.17780981923384467
difficulty speaking,0.17720202602498414
lip swelling,0.17096945484562975
symptoms of eye,0.17078429064827827
flu-like syndrome,0.17044481940231965
stomach bloating,0.16050837088810652
melena,0.15966874709608841
sleepiness,0.15878002721573048
fatigue,0.157692776991011
hostile behavior,0.15727215021524565
painful menstruation,0.15704715040780962
delusions or hallucinations,0.1549549652044609
ringing in ear,0.1523638297688435
itchy scalp,0.15043226406704874
congestion in chest,0.15041609027954075
symptoms of the kidneys,0.14912843544119445
uterine contractions,0.14838549996894862
symptom_count,0.14739837101856548
unpredictable menstruation,0.1472741249122374
hurts to breath,0.14688955361996325
drug abuse,0.1459341884874703
low self-esteem,0.14425512660105325
eye burns or stings,0.14285959683245383
excessive anger,0.14281568892696797
long menstrual periods,0.14143532441664397
frontal headache,0.14124600051359099
foot or toe swelling,0.14005526287019465
diminished vision,0.13940731976134607
symptoms of bladder,0.13924197282536105
wrist swelling,0.13784951429842932
sneezing,0.1370177657395061
redness in ear,0.1366529993156333
sinus congestion,0.1357989331312363
knee swelling,0.13575077996043125
irritable infant,0.13037622147449202
vaginal itching,0.13015899209221435
painful sinuses,0.1244472303555362
groin pain,0.1225225408070906
rib pain,0.11864010266977912
bones are painful,0.11641508126344241
regurgitation,0.1159456502524464
restlessness,0.11318313827081844
double vision,0.10778900555158033
toothache,0.10698755654749487
frequent menstruation,0.10500126143773009
elbow swelling,0.10415137982826879
seizures,0.10250761933356063
itching of the anus,0.10115300769294318
ankle swelling,0.09954158219060937
arm swelling,0.09837681986803892
symptoms of the face,0.09826533824817847
arm stiffness or tightness,0.09766772480813822
foreign body sensation in eye,0.09489093226637632
weight gain,0.09255149046635086
spots or clouds in vision,0.09184858221811931
gum pain,0.09156135394234591
hoarse voice,0.08467005793773115
back cramps or spasms,0.08256367148730781
hemoptysis,0.08156709081402944
hand or finger weakness,0.08027226726390962
nosebleed,0.07914365015972143
hysterical behavior,0.07745332202925953
itchy ear(s),0.07341539082372896
hot flashes,0.07317087256369917
symptoms of the scrotum and testes,0.0718049611905836
pain during intercourse,0.07057855800137082
hip stiffness or tightness,0.07010605312705004
back stiffness or tightness,0.0700439091407525
neck mass,0.06995497417994151
kidney mass,0.06946159150672933
white discharge from eye,0.0690359761197471
infertility,0.06848938970314189
breathing fast,0.06836240539241972
diaper rash,0.06816526668967658
pain in gums,0.06809401885636485
jaw swelling,0.06773649989349081
hand or finger lump or mass,0.06741119871770448
pus draining from ear,0.06632920156660496
arm lump or mass,0.06505753742285768
jaundice,0.06451012043021796
unusual color or odor to urine,0.0640854098422906
decreased heart rate,0.06394605443070862
bleeding from ear,0.06356633764310331
mouth ulcer,0.06261219331940893
burning chest pain,0.062339962858538094
back mass or lump,0.062024173303873054
recent pregnancy,0.060928084053609555
focal weakness,0.060893365634101346
vaginal redness,0.06070432208579085
mass or swelling around the anus,0.06047217027630783
hand or finger stiffness or tightness,0.05978678259601065
throat swelling,0.05947448560046869
eyelid swelling,0.059470035517237056
mass on eyelid,0.05890226925897188
mouth pain,0.056518658518666845
bleeding from eye,0.0549051023143878
swollen or red tonsils,0.05486074188202229
abnormal movement of eyelid,0.053643698029130216
shoulder stiffness or tightness,0.05337827555259241
apnea,0.05326089953141851
irregular appearing nails,0.052941301024897705
eyelid lesion or rash,0.052828417548874025
lack of growth,0.052776602402469404
infant feeding problem,0.05180546245150446
antisocial behavior,0.051713525147569765
knee stiffness or tightness,0.050985333289240584
bleeding gums,0.0507403879324425
mouth dryness,0.048794463718956224
neck swelling,0.04852912941640957
blindness,0.047368286200979576
hesitancy,0.047268746155351954
obsessions and compulsions,0.04722620477639375
symptoms of prostate,0.04609557514687025
excessive urination at night,0.04523652304269888
low urine output,0.0441512632926873
impotence,0.0426552650218054
swelling of scrotum,0.04178275977643251
pain in testicles,0.0401921412247567
